GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,5,98,2,9,1,21,2,6,0,2
parking-system,com.parkit.parkingsystem.service,ParkingService,40,203,6,5,12,54,6,7,0,7
parking-system,com.parkit.parkingsystem.service,InteractiveShell,72,0,6,0,27,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,17,45,4,4,5,14,7,6,3,6
parking-system,com.parkit.parkingsystem.model,Ticket,0,45,0,0,0,19,0,13,0,13
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,24,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,42,13,4,0,14,3,4,2,2,2
parking-system,com.parkit.parkingsystem.dao,TicketDAO,34,243,2,2,10,64,2,6,0,6
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,13,103,2,2,4,29,2,4,0,4
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,15,57,3,3,3,23,3,6,0,6
